Perfil;RPM;60;63;67;71;75;80;85;90;95;100;106;112;118;125;132;140;150;160;170;180;190;200;212;220;224;236;250;265;280;300;315;335;355;375;400;425;450;500;560;630;710;800;900;1000;1120;1250
D;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.15;26.33;;;;;;;;;;;;;;;
E;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,06;4,71;5,49;6,38;7,40;8,52;9,76;10,99;12,44;14
E;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,41;8,64;10,00;11,77;13,66;15,77;18,07;20,34;23,04;25,91
E;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,48;12,25;14,34;16,75;19,46;22,46;25,73;28,95;32,74;36,76
E;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,37;15,64;18,49;21,64;25,21;29,17;33,51;37,81;42,91;48,37
E;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,09;18,85;22,11;25,84;30,01;34,58;39,52;44,30;49,82;55,54
E;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,68;21,90;25,89;30,01;34,81;40,05;45,66;51,02;57,14;63,34
E;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,46;27,52;32,26;37,62;43,49;49,76;56,31;62,37;68,97;75,21
E;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,76;32,54;38,06;44,21;50,81;57,67;64,52;70,51;76,44;81,2
E;600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31,54;36,91;43,03;49,69;56,63;63,52;69,92;74,88;78,76;85,23
E;700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34,80;40,60;47,09;53,94;60,77;67,04;72,08;74,91;80,22;
E;750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,22;42,18;48,75;55,57;62,14;67,83;72,15;75,05;;
E;900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39,57;45,71;52,13;58,23;63,17;67,94;;;;
E;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,00;46,99;52,92;57,97;63,23;;;;;
E;1100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,73;47,33;53,05;58,16;;;;;;
E;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,69;47,52;53,19;;;;;;;
E;1300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,89;47,64;53,27;;;;;;;
E;1400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42,03;47,79;;;;;;;;
E;1450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42,15;47,90;;;;;;;;
