Perfil;Codigo;Longitud Li
C;C52GL;1321
C;C53GL;1346
C;C54GL;1372
C;C55GL;1397
C;C56GL;1422
C;C57GL;1448
C;C58GL;1473
C;C59GL;1499
C;C60GL;1524
C;C61GL;1549
C;C62GL;1575
C;C62.25GL;1581
C;C63GL;1600
C;C64GL;1626
C;C65GL;1651
C;C66GL;1676
C;C67GL;1702
C;C68GL;1727
C;C69GL;1753
C;C70GL;1778
C;C71GL;1803
C;C72GL;1829
C;C72.5GL;1842
C;C73GL;1854
C;C74GL;1880
C;C75GL;1905
C;C76GL;1930
C;C77GL;1956
C;C78GL;1981
C;C79GL;2007
C;C80GL;2032
C;C81GL;2057
C;C82GL;2083
C;C83GL;2108
C;C84GL;2134
C;C85GL;2159
C;C86GL;2184
C;C87GL;2210
C;C88GL;2235
C;C89GL;2261
C;C90GL;2286
C;C91GL;2311
C;C92GL;2337
C;C93GL;2362
C;C94GL;2388
C;C95GL;2413
C;C96GL;2438
C;C96.5GL;2451
C;C97GL;2464
C;C98GL;2489
C;C99GL;2515
C;C100GL;2540
C;C101GL;2565
C;C102GL;2591
C;C103GL;2616
C;C104GL;2642
C;C105GL;2667
C;C106GL;2692
C;C107GL;2718
C;C108GL;2743
C;C109GL;2769
C;C110GL;2794
C;C111GL;2819
C;C112GL;2845
C;C113GL;2870
C;C114GL;2896
C;C115GL;2921
C;C116GL;2946
C;C117GL;2972
C;C118GL;2997
C;C119GL;3023
C;C120GL;3048
C;C121GL;3073
C;C122GL;3099
C;C123GL;3124
C;C124GL;3150
C;C125GL;3175
C;C126GL;3200
C;C127GL;3226
C;C128GL;3251
C;C129GL;3277
C;C130GL;3302
C;C131GL;3327
C;C132GL;3353
C;C133GL;3378
C;C134GL;3404
C;C135GL;3429
C;C136GL;3454
C;C137GL;3480
C;C138GL;3505
C;C140GL;3556
C;C141GL;3581
C;C142GL;3607
C;C143GL;3632
C;C144GL;3658
C;C145GL;3683
C;C146GL;3708
C;C147GL;3734
C;C148GL;3759
C;C149GL;3785
C;C150GL;3810
C;C151GL;3835
C;C152GL;3861
C;C153GL;3886
C;C154GL;3912
C;C155GL;3937
C;C156GL;3962
C;C158GL;4013
C;C159GL;4039
C;C160GL;4064
C;C161GL;4089
C;C162GL;4115
C;C163GL;4140
C;C164GL;4166
C;C165GL;4191
C;C166GL;4216
C;C167GL;4242
C;C168GL;4267
C;C169GL;4293
C;C170GL;4318
C;C172GL;4369
C;C173GL;4394
C;C175GL;4445
C;C177GL;4496
C;C178GL;4521
C;C180GL;4572
C;C181GL;4597
C;C182GL;4623
C;C183GL;4648
C;C184GL;4674
C;C185GL;4699
C;C187GL;4750
C;C188GL;4775
C;C189GL;4801
C;C190GL;4826
C;C192GL;4877
C;C193GL;4902
C;C194GL;4928
C;C195GL;4953
C;C196GL;4978
C;C197GL;5004
C;C198GL;5029
C;C200GL;5080
C;C202GL;5131
C;C204GL;5182
C;C205GL;5207
C;C206GL;5232
C;C207GL;5258
C;C208GL;5283
C;C210GL;5334
C;C212GL;5385
C;C215GL;5461
C;C216GL;5486
C;C218GL;5537
C;C220GL;5588
C;C221GL;5613
C;C222GL;5639
C;C225GL;5715
C;C228GL;5791
C;C230GL;5842
C;C232GL;5893
C;C235GL;5969
C;C236GL;5994
C;C238GL;6045
C;C240GL;6096
C;C242GL;6147
C;C245GL;6223
C;C246GL;6248
C;C248GL;6299
C;C250GL;6350
C;C255GL;6477
C;C262GL;6655
C;C264GL;6706
C;C265GL;6731
C;C270GL;6858
C;C276GL;7010
C;C280GL;7112
C;C285GL;7239
C;C295GL;7493
C;C297GL;7544
C;C300GL;7620
C;C303GL;7696
C;C314GL;7976
C;C315GL;8001
C;C316GL;8026
C;C330GL;8382
C;C336GL;8534
C;C345GL;8763
C;C360GL;9144
C;C390GL;9906
C;C420GL;10668
D;D79GL;2007
D;D90GL;2286
D;D98GL;2489
D;D104GL;2642
D;D105GL;2667
D;D110GL;2794
D;D115GL;2921
D;D118GL;2997
D;D120GL;3048
D;D124GL;3150
D;D126GL;3200
D;D128GL;3251
D;D132GL;3353
D;D135GL;3429
D;D136GL;3454
D;D140GL;3556
D;D144GL;3658
D;D148GL;3759
D;D152GL;3861
D;D154GL;3912
D;D155GL;3937
D;D156GL;3962
D;D158GL;4013
D;D160GL;4064
D;D162GL;4115
D;D164GL;4166
D;D165GL;4191
D;D167GL;4242
D;D170GL;4318
D;D171GL;4343
D;D173GL;4394
D;D177GL;4496
D;D180GL;4572
D;D187GL;4750
D;D195GL;4953
D;D197GL;5004
D;D208GL;5283
D;D210GL;5334
D;D220GL;5588
D;D224GL;5690
D;D225GL;5715
D;D230GL;5842
D;D233GL;5918
D;D236GL;5994
D;D240GL;6096
D;D248GL;6299
D;D250GL;6350
D;D255GL;6477
D;D260GL;6604
D;D264GL;6706
D;D270GL;6858
D;D275GL;6985
D;D280GL;7112
D;D285GL;7239
D;D295GL;7493
D;D300GL;7620
D;D315GL;8001
D;D330GL;8382
D;D335GL;8509
D;D345GL;8763
D;D354GL;8992
D;D355GL;9017
D;D360GL;9144
D;D374GL;9500
D;D380GL;9652
D;D390GL;9906
D;D394GL;10008
D;D418GL;10617
D;D420GL;10668
D;D436GL;11074
D;D441GL;11201
D;D450GL;11430
D;D480GL;12192
D;D492GL;12497
D;D540GL;13716
D;D600GL;15240
D;D660GL;16764
E;E144GL;3658
E;E158GL;4013
E;E180GL;4572
E;E195GL;4953
E;E202GL;5131
E;E210GL;5334
E;E225GL;5715
E;E240GL;6096
E;E270GL;6858
E;E300GL;7620
E;E310GL;7874
E;E325GL;8255
E;E330GL;8382
E;E360GL;9144
E;E390GL;9906
E;E420GL;10668
E;E441GL;11201
E;E480GL;12192
E;E540GL;13716
E;E600GL;15240
E;E660GL;16764
